Nombre,Apellido,Edad,Correo electrónico,ID Nacional,Nacionalidad,Tipo de Challenge,Tipo de instancia
Jeffrey,Zimmerman,25,josephmartin@example.org,Q33342018,New Caledonia,Presencial,Seguidor
Sabrina,Kramer,21,buckashley@example.com,J84160781,Saint Pierre and Miquelon,Donacion,Seguidor
Tanya,Ali,38,william22@example.net,Y77645185,American Samoa,,Persona
Jeremy,Hall,64,christinejohnson@example.org,K23280139,Saint Martin,,Persona
Jaime,Figueroa,18,kyoung@example.com,G40788928,Iceland,,Persona
Matthew,Harris,64,awilliams@example.com,T69889014,Hong Kong,,Persona
Gabriel,Mathis,47,christopherjacobs@example.org,F78717814,Mauritania,Presencial,Seguidor
Kevin,Watkins,26,woodkathy@example.net,Q60527062,Mayotte,Presencial,Seguidor
Kevin,Avery,29,lopezeric@example.org,S93815976,Christmas Island,Donacion,Seguidor
Katherine,Aguirre,30,hawkinslinda@example.net,O41817101,Belize,Donacion,Seguidor
James,Bryan,18,richardsmith@example.net,D04304872,Serbia,,Persona
Sara,Collins,60,cory51@example.net,N30958916,Mauritania,,Persona
Alan,Adkins,47,moorephilip@example.org,F41098415,Kenya,Donacion,Seguidor
Brittany,Oliver,42,richard37@example.org,T93509512,Timor-Leste,Presencial,Seguidor
Nichole,Davis,35,samuel38@example.com,I87912518,Bouvet Island (Bouvetoya),Presencial,Seguidor
Fred,French,24,matthewcampbell@example.org,O92874511,Lesotho,Donacion,Seguidor
Michael,Torres,38,scott19@example.com,S19657233,Seychelles,Donacion,Seguidor
Anthony,Parrish,26,bdeleon@example.com,O15059466,Latvia,,Persona
Carmen,Hart,51,gary45@example.org,E13058613,British Virgin Islands,,Persona
Melissa,Lin,19,jamesbrown@example.org,J87409902,Jamaica,Donacion,Seguidor
Susan,Morgan,42,kathleenbraun@example.com,Z31969157,Ireland,,Persona
Ronald,Richards,31,brianmarshall@example.net,G65663479,Vietnam,Donacion,Seguidor
Justin,Zimmerman,24,jasonwood@example.com,H34075388,Djibouti,,Persona
Victor,Dunn,32,vwoods@example.org,V14549709,Gambia,Donacion,Seguidor
Kelsey,Bailey,56,casey09@example.com,L98852317,Senegal,,Persona
John,Cook,61,gardnercurtis@example.net,C12862029,Slovakia (Slovak Republic),,Persona
Kenneth,Chambers,38,xzimmerman@example.com,C73625389,Sierra Leone,,Persona
Rebecca,Burns,42,mitchellrebecca@example.org,N01292879,Burkina Faso,Donacion,Seguidor
Jenna,Stewart,74,wendy39@example.com,Z45480778,Peru,Donacion,Seguidor
